date,symbol,close
2021-09-15,VTI,213.72
2021-09-15,VOO,421.39
2021-09-15,BND,84.24
2021-09-15,AAPL,155.1
2021-09-15,MSFT,322.72
2021-09-15,GOOGL,153.14
2021-09-15,AMZN,193.9
2021-09-15,JNJ,175.09
2021-09-15,PG,145.82
2021-09-15,KO,57.45
2021-09-15,XOM,67.99
2021-09-15,CVX,117.72
2021-09-15,JPM,170.53
2021-09-15,BAC,44.31
2021-09-15,HD,329.57
2021-09-15,WMT,48.93
2021-09-15,DIS,191.45
2021-09-15,V,238.3
2021-09-15,MA,375.16
2021-09-15,UNH,424.32
2021-09-15,COST,465.5
2021-09-15,PEP,171.79
2021-09-15,META,382.94
2021-09-15,NVDA,263.98
2021-09-15,TSLA,316.11
2021-10-15,VTI,221.22
2021-10-15,VOO,427.26
2021-10-15,BND,83.19
2021-10-15,AAPL,164.12
2021-10-15,MSFT,329.96
2021-10-15,GOOGL,147.78
2021-10-15,AMZN,179.24
2021-10-15,JNJ,171.42
2021-10-15,PG,143.42
2021-10-15,KO,58.87
2021-10-15,XOM,71.62
2021-10-15,CVX,118.59
2021-10-15,JPM,166.91
2021-10-15,BAC,41.84
2021-10-15,HD,317.87
2021-10-15,WMT,50.38
2021-10-15,DIS,193.53
2021-10-15,V,239.18
2021-10-15,MA,370.74
2021-10-15,UNH,404.15
2021-10-15,COST,457.19
2021-10-15,PEP,174.63
2021-10-15,META,384.25
2021-10-15,NVDA,237.51
2021-10-15,TSLA,247.13
2021-11-15,VTI,225.72
2021-11-15,VOO,425.49
2021-11-15,BND,81.65
2021-11-15,AAPL,162.12
2021-11-15,MSFT,321.53
2021-11-15,GOOGL,133.66
2021-11-15,AMZN,159.88
2021-11-15,JNJ,167.47
2021-11-15,PG,141.58
2021-11-15,KO,59.65
2021-11-15,XOM,70.95
2021-11-15,CVX,113.35
2021-11-15,JPM,158.63
2021-11-15,BAC,38.96
2021-11-15,HD,307.62
2021-11-15,WMT,51.21
2021-11-15,DIS,176.25
2021-11-15,V,235.35
2021-11-15,MA,361.44
2021-11-15,UNH,382.96
2021-11-15,COST,451.07
2021-11-15,PEP,175.85
2021-11-15,META,334.57
2021-11-15,NVDA,191.87
2021-11-15,TSLA,196.91
2021-12-15,VTI,226.21
2021-12-15,VOO,417.56
2021-12-15,BND,80.39
2021-12-15,AAPL,151.47
2021-12-15,MSFT,304.05
2021-12-15,GOOGL,126.11
2021-12-15,AMZN,151.49
2021-12-15,JNJ,164.4
2021-12-15,PG,140.97
2021-12-15,KO,59.57
2021-12-15,XOM,66.43
2021-12-15,CVX,104.68
2021-12-15,JPM,151.21
2021-12-15,BAC,37.49
2021-12-15,HD,303.57
2021-12-15,WMT,51.26
2021-12-15,DIS,156.12
2021-12-15,V,228.97
2021-12-15,MA,352.06
2021-12-15,UNH,371.94
2021-12-15,COST,450.67
2021-12-15,PEP,175.26
2021-12-15,META,286.91
2021-12-15,NVDA,197.73
2021-12-15,TSLA,236.77
2022-01-15,VTI,222.97
2022-01-15,VOO,406.95
2022-01-15,BND,80.07
2022-01-15,AAPL,141.21
2022-01-15,MSFT,289.66
2022-01-15,GOOGL,134.08
2022-01-15,AMZN,161.68
2022-01-15,JNJ,163.16
2022-01-15,PG,141.91
2022-01-15,KO,58.71
2022-01-15,XOM,60.33
2022-01-15,CVX,96.9
2022-01-15,JPM,149.7
2022-01-15,BAC,38.42
2022-01-15,HD,308.16
2022-01-15,WMT,50.64
2022-01-15,DIS,152.3
2022-01-15,V,223.22
2022-01-15,MA,347.53
2022-01-15,UNH,377.63
2022-01-15,COST,457.79
2022-01-15,PEP,173.16
2022-01-15,META,293.56
2022-01-15,NVDA,256.27
2022-01-15,TSLA,313.61
2022-02-15,VTI,217.49
2022-02-15,VOO,398.04
2022-02-15,BND,80.91
2022-02-15,AAPL,140.23
2022-02-15,MSFT,288.97
2022-02-15,GOOGL,151.07
2022-02-15,AMZN,184.06
2022-02-15,JNJ,164.2
2022-02-15,PG,144.32
2022-02-15,KO,57.48
2022-02-15,XOM,55.69
2022-02-15,CVX,93.97
2022-02-15,JPM,155.78
2022-02-15,BAC,41.35
2022-02-15,HD,320.54
2022-02-15,WMT,49.66
2022-02-15,DIS,167.54
2022-02-15,V,221.1
2022-02-15,MA,351.03
2022-02-15,UNH,398.82
2022-02-15,COST,471.86
2022-02-15,PEP,170.25
2022-02-15,META,353.11
2022-02-15,NVDA,294.48
2022-02-15,TSLA,322.6
2022-03-15,VTI,211.98
2022-03-15,VOO,394.78
2022-03-15,BND,82.58
2022-03-15,AAPL,150.56
2022-03-15,MSFT,304.74
2022-03-15,GOOGL,161.35
2022-03-15,AMZN,202.93
2022-03-15,JNJ,167.37
2022-03-15,PG,147.74
2022-03-15,KO,56.42
2022-03-15,XOM,54.92
2022-03-15,CVX,97.6
2022-03-15,JPM,166.66
2022-03-15,BAC,44.7
2022-03-15,HD,336.88
2022-03-15,WMT,48.75
2022-03-15,DIS,185.62
2022-03-15,V,224.29
2022-03-15,MA,362.72
2022-03-15,UNH,426.95
2022-03-15,COST,490.06
2022-03-15,PEP,167.46
2022-03-15,META,410.65
2022-03-15,NVDA,264.94
2022-03-15,TSLA,252.21
2022-04-15,VTI,208.7
2022-04-15,VOO,399.36
2022-04-15,BND,84.37
2022-04-15,AAPL,165.7
2022-04-15,MSFT,330.04
2022-04-15,GOOGL,155.7
2022-04-15,AMZN,204.98
2022-04-15,JNJ,171.94
2022-04-15,PG,151.41
2022-04-15,KO,56.0
2022-04-15,XOM,58.61
2022-04-15,CVX,106.46
2022-04-15,JPM,176.68
2022-04-15,BAC,46.61
2022-04-15,HD,351.74
2022-04-15,WMT,48.33
2022-04-15,DIS,187.63
2022-04-15,V,232.43
2022-04-15,MA,379.6
2022-04-15,UNH,450.13
2022-04-15,COST,508.25
2022-04-15,PEP,165.69
2022-04-15,META,412.06
2022-04-15,NVDA,214.04
2022-04-15,TSLA,200.96
2022-05-15,VTI,209.24
2022-05-15,VOO,411.51
2022-05-15,BND,85.49
2022-05-15,AAPL,175.34
2022-05-15,MSFT,352.18
2022-05-15,GOOGL,140.82
2022-05-15,AMZN,189.48
2022-05-15,JNJ,176.8
2022-05-15,PG,154.51
2022-05-15,KO,56.47
2022-05-15,XOM,65.28
2022-05-15,CVX,116.71
2022-05-15,JPM,180.62
2022-05-15,BAC,46.07
2022-05-15,HD,360.23
2022-05-15,WMT,48.68
2022-05-15,DIS,170.88
2022-05-15,V,243.28
2022-05-15,MA,396.64
2022-05-15,UNH,458.63
2022-05-15,COST,522.18
2022-05-15,PEP,165.57
2022-05-15,META,358.78
2022-05-15,NVDA,220.57
2022-05-15,TSLA,241.63
2022-06-15,VTI,213.99
2022-06-15,VOO,428.55
2022-06-15,BND,85.5
2022-06-15,AAPL,173.2
2022-06-15,MSFT,360.08
2022-06-15,GOOGL,132.86
2022-06-15,AMZN,169.02
2022-06-15,JNJ,180.77
2022-06-15,PG,156.36
2022-06-15,KO,57.73
2022-06-15,XOM,72.03
2022-06-15,CVX,123.85
2022-06-15,JPM,176.78
2022-06-15,BAC,43.5
2022-06-15,HD,359.83
2022-06-15,WMT,49.81
2022-06-15,DIS,151.36
2022-06-15,V,253.5
2022-06-15,MA,408.65
2022-06-15,UNH,449.53
2022-06-15,COST,528.93
2022-06-15,PEP,167.3
2022-06-15,META,307.68
2022-06-15,NVDA,285.88
2022-06-15,TSLA,320.05
2022-07-15,VTI,222.01
2022-07-15,VOO,446.17
2022-07-15,BND,84.44
2022-07-15,AAPL,161.83
2022-07-15,MSFT,350.88
2022-07-15,GOOGL,141.27
2022-07-15,AMZN,160.15
2022-07-15,JNJ,182.89
2022-07-15,PG,156.62
2022-07-15,KO,59.36
2022-07-15,XOM,75.88
2022-07-15,CVX,124.77
2022-07-15,JPM,168.01
2022-07-15,BAC,40.51
2022-07-15,HD,351.4
2022-07-15,WMT,51.53
2022-07-15,DIS,147.66
2022-07-15,V,259.96
2022-07-15,MA,412.31
2022-07-15,UNH,428.16
2022-07-15,COST,527.81
2022-07-15,PEP,170.58
2022-07-15,META,314.81
2022-07-15,NVDA,328.49
2022-07-15,TSLA,329.23
2022-08-15,VTI,231.29
2022-08-15,VOO,459.86
2022-08-15,BND,82.87
2022-08-15,AAPL,150.86
2022-08-15,MSFT,331.8
2022-08-15,GOOGL,159.16
2022-08-15,AMZN,170.92
2022-08-15,JNJ,182.69
2022-08-15,PG,155.38
2022-08-15,KO,60.83
2022-08-15,XOM,75.17
2022-08-15,CVX,119.25
2022-08-15,JPM,160.15
2022-08-15,BAC,38.98
2022-08-15,HD,338.93
2022-08-15,WMT,53.4
2022-08-15,DIS,162.44
2022-08-15,V,260.91
2022-08-15,MA,407.46
2022-08-15,UNH,405.72
2022-08-15,COST,520.69
2022-08-15,PEP,174.68
2022-08-15,META,378.67
2022-08-15,NVDA,295.55
2022-08-15,TSLA,257.39
2022-09-15,VTI,239.41
2022-09-15,VOO,466.27
2022-09-15,BND,81.59
2022-09-15,AAPL,149.81
2022-09-15,MSFT,316.1
2022-09-15,GOOGL,169.99
2022-09-15,AMZN,194.59
2022-09-15,JNJ,180.34
2022-09-15,PG,153.11
2022-09-15,KO,61.64
2022-09-15,XOM,70.38
2022-09-15,CVX,110.13
2022-09-15,JPM,158.56
2022-09-15,BAC,39.95
2022-09-15,HD,327.99
2022-09-15,WMT,54.98
2022-09-15,DIS,179.96
2022-09-15,V,256.74
2022-09-15,MA,397.24
2022-09-15,UNH,394.04
2022-09-15,COST,511.39
2022-09-15,PEP,178.67
2022-09-15,META,440.38
2022-09-15,NVDA,238.76
2022-09-15,TSLA,205.08
2022-10-15,VTI,244.27
2022-10-15,VOO,464.34
2022-10-15,BND,81.27
2022-10-15,AAPL,160.85
2022-10-15,MSFT,315.35
2022-10-15,GOOGL,164.04
2022-10-15,AMZN,214.53
2022-10-15,JNJ,176.57
2022-10-15,PG,150.59
2022-10-15,KO,61.55
2022-10-15,XOM,63.92
2022-10-15,CVX,101.94
2022-10-15,JPM,164.99
2022-10-15,BAC,42.99
2022-10-15,HD,323.67
2022-10-15,WMT,55.88
2022-10-15,DIS,181.92
2022-10-15,V,249.77
2022-10-15,MA,386.93
2022-10-15,UNH,400.07
2022-10-15,COST,504.54
2022-10-15,PEP,181.61
2022-10-15,META,441.89
2022-10-15,NVDA,246.05
2022-10-15,TSLA,246.59
2022-11-15,VTI,244.8
2022-11-15,VOO,455.69
2022-11-15,BND,82.12
2022-11-15,AAPL,177.02
2022-11-15,MSFT,332.55
2022-11-15,GOOGL,148.37
2022-11-15,AMZN,216.7
2022-11-15,JNJ,172.49
2022-11-15,PG,148.66
2022-11-15,KO,60.66
2022-11-15,XOM,59.0
2022-11-15,CVX,98.86
2022-11-15,JPM,176.51
2022-11-15,BAC,46.47
2022-11-15,HD,328.57
2022-11-15,WMT,55.94
2022-11-15,DIS,165.68
2022-11-15,V,243.5
2022-11-15,MA,381.95
2022-11-15,UNH,422.51
2022-11-15,COST,504.1
2022-11-15,PEP,182.88
2022-11-15,META,384.75
2022-11-15,NVDA,318.9
2022-11-15,TSLA,326.62
2022-12-15,VTI,241.3
2022-12-15,VOO,444.1
2022-12-15,BND,83.82
2022-12-15,AAPL,187.32
2022-12-15,MSFT,360.16
2022-12-15,GOOGL,139.98
2022-12-15,AMZN,200.32
2022-12-15,JNJ,169.33
2022-12-15,PG,148.02
2022-12-15,KO,59.39
2022-12-15,XOM,58.18
2022-12-15,CVX,102.68
2022-12-15,JPM,187.12
2022-12-15,BAC,48.45
2022-12-15,HD,341.77
2022-12-15,WMT,55.27
2022-12-15,DIS,146.75
