date,type,symbol,quantity,price,amount,account
2021-09-15,BUY,DEMO-VOO,1.5188,421.39,640.01,Demo 401k
2021-09-15,BUY,DEMO-BND,1.8993,84.24,160.0,Demo 401k
2021-09-15,DEPOSIT,,0,0,800.0,Demo 401k
2021-09-15,BUY,DEMO-VOO,1.1865,421.39,499.98,Demo Roth IRA
2021-09-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2021-09-15,BUY,DEMO-VTI,2.1056,213.72,450.01,Demo Taxable Brokerage
2021-09-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2021-10-15,BUY,DEMO-VOO,1.4979,427.26,639.99,Demo 401k
2021-10-15,BUY,DEMO-BND,1.9233,83.19,160.0,Demo 401k
2021-10-15,DEPOSIT,,0,0,800.0,Demo 401k
2021-10-15,BUY,DEMO-VOO,1.1702,427.26,499.98,Demo Roth IRA
2021-10-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2021-10-15,BUY,DEMO-VTI,2.0342,221.22,450.01,Demo Taxable Brokerage
2021-10-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2021-11-15,BUY,DEMO-VOO,1.5041,425.49,639.98,Demo 401k
2021-11-15,BUY,DEMO-BND,1.9596,81.65,160.0,Demo 401k
2021-11-15,DEPOSIT,,0,0,800.0,Demo 401k
2021-11-15,BUY,DEMO-VOO,1.1751,425.49,499.99,Demo Roth IRA
2021-11-15,BUY,DEMO-VOO,0.0812,425.49,34.55,Demo Roth IRA
2021-11-15,BUY,DEMO-V,0.0438,235.35,10.31,Demo Roth IRA
2021-11-15,BUY,DEMO-MA,0.0312,361.44,11.28,Demo Roth IRA
2021-11-15,BUY,DEMO-PEP,0.1625,175.85,28.58,Demo Roth IRA
2021-11-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2021-11-15,DIVIDEND,DEMO-VOO,0,0,34.57,Demo Roth IRA
2021-11-15,DIVIDEND,DEMO-V,0,0,10.3,Demo Roth IRA
2021-11-15,DIVIDEND,DEMO-MA,0,0,11.29,Demo Roth IRA
2021-11-15,DIVIDEND,DEMO-PEP,0,0,28.58,Demo Roth IRA
2021-11-15,BUY,DEMO-VTI,1.9936,225.72,450.0,Demo Taxable Brokerage
2021-11-15,BUY,DEMO-VTI,0.14,225.72,31.6,Demo Taxable Brokerage
2021-11-15,BUY,DEMO-JPM,0.24,158.63,38.07,Demo Taxable Brokerage
2021-11-15,BUY,DEMO-HD,0.22,307.62,67.68,Demo Taxable Brokerage
2021-11-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2021-11-15,DIVIDEND,DEMO-VTI,0,0,31.6,Demo Taxable Brokerage
2021-11-15,DIVIDEND,DEMO-JNJ,0,0,46.89,Demo Taxable Brokerage
2021-11-15,DIVIDEND,DEMO-PG,0,0,33.98,Demo Taxable Brokerage
2021-11-15,DIVIDEND,DEMO-KO,0,0,17.89,Demo Taxable Brokerage
2021-11-15,REINVESTMENT,DEMO-KO,0.299916,59.65,17.89,Demo Taxable Brokerage
2021-11-15,DIVIDEND,DEMO-XOM,0,0,23.41,Demo Taxable Brokerage
2021-11-15,DIVIDEND,DEMO-CVX,0,0,40.81,Demo Taxable Brokerage
2021-11-15,DIVIDEND,DEMO-JPM,0,0,38.07,Demo Taxable Brokerage
2021-11-15,DIVIDEND,DEMO-HD,0,0,67.68,Demo Taxable Brokerage
2021-11-15,DIVIDEND,DEMO-WMT,0,0,7.17,Demo Taxable Brokerage
2021-12-15,BUY,DEMO-VOO,1.5327,417.56,639.99,Demo 401k
2021-12-15,BUY,DEMO-BND,1.9903,80.39,160.0,Demo 401k
2021-12-15,DEPOSIT,,0,0,800.0,Demo 401k
2021-12-15,BUY,DEMO-VOO,1.1974,417.56,499.99,Demo Roth IRA
2021-12-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2021-12-15,BUY,DEMO-VTI,1.9893,226.21,450.0,Demo Taxable Brokerage
2021-12-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2022-01-15,BUY,DEMO-VOO,1.5727,406.95,640.01,Demo 401k
2022-01-15,BUY,DEMO-BND,1.9983,80.07,160.0,Demo 401k
